id,created_at,date,project_id,output_measurable_id,type,description,value,link,posted_by,year,impact_indicator_id,second_project,source,valid,duplicate,notes,verification,verified,original,datasource,edited_at
389,2024-03-30 19:13:15.572817+00,2016-11-30,61,,Progress,"November 2016, the Ministry of Environment, Land and Sea committed to the designation of an MPA in the Aeolians and local municipalities united and announced their support",,,,2016,121,,Historic,false,true,,,true,false,10,
391,2024-03-30 19:13:15.572817+00,2020-12-31,61,,Progress,"BLUE has invested in infrastructure such as ice machines and insulated fish boxes, which improve quality of catch",,,,2020,522,,Historic,true,true,,,true,false,67,
392,2024-03-30 19:13:15.572817+00,2020-12-31,61,,Impact,"Number of beneficiaries directly supported with the Swarovski Foundation grant 23 (students, fishermen and biologists – education session 1)",23,,,2020,522,,Historic,true,false,,,true,true,67,
393,2024-03-30 19:13:15.572817+00,2020-12-31,61,,Impact,23 community members as beneficiaries from grant (estimated number of  family members/friends; supporting fishermen and teachers),23,,,2020,522,,Historic,true,false,,,true,true,67,
394,2024-03-30 19:13:15.572817+00,2020-12-31,61,,Impact,225 individuals reached through events/presentations  featuring the Aeolian Island  marine education  programme,225,,,2020,531,,Historic,true,true,,,true,false,,
395,2024-03-30 19:13:15.572817+00,2020-12-31,61,,Impact,"5,975 people reached through social media posts about the Aeolian Island marine education programme",5975,,,2020,903,,Historic,true,true,,,true,false,,
396,2024-03-30 19:13:15.572817+00,2020-12-31,61,,Impact,Cambridge University – Marine Science Student and Staff group: 25 participantsKing’s College London – Postgraduate Geography/Climate Change cohort: 80 participantsThe Eden Project (Live): 120 participantsTotal number of participants learning about the Aeolian Island marine education programme and its aim: 225,25,,,2020,531,,Historic,true,true,,,true,false,67,
398,2024-03-30 19:13:15.572817+00,2021-11-30,61,,Impact,"The event attracted 160 students and 280 students received copies of his book. ",160,,,2021,531,,Historic,true,true,,,true,false,,
399,2024-03-30 19:13:15.572817+00,2016-05-31,61,,Impact,"Rory Moore co-hosts an event with the Aeolian Island Preservation Fund, where Italy’s Minister of Environment, Land and Sea, Gian Luca Galletti, with regional and local mayors, announce their endorsement of the establishment of a network of marine protected areas around the Aeolian Islands",1,,,2016,532,,Historic,true,true,,,true,true,10,
400,2024-03-30 19:13:15.572817+00,2022-12-31,20,,Impact,"125 participants in school snorkeling camps (Hamad, Ihadhdhoo, Fonadhoo, Kinahandhoo and Maavah)",125,,,2022,551,,Historic,true,false,,,true,true,1,
402,2024-03-30 19:13:15.572817+00,2022-12-31,20,,Impact,17 participants in council education sessions (Kunahandhoo and Maavah),17,,,2022,551,,Historic,true,false,,,true,true,1,
403,2024-03-30 19:13:15.572817+00,2022-12-31,20,,Impact,8 young people trained on PADI OWD and as Reef Check EcoDivers.,8,,,2022,551,,Historic,true,false,,,true,true,1,
404,2024-03-30 19:13:15.572817+00,2021-11-30,61,,Impact,"Additional community education campaign event: Re-connecting with school partners to solidify ocean-climate education ",1,,,2021,532,,Historic,true,true,,,true,true,,
405,2024-03-30 19:13:15.572817+00,2019-12-31,30,,Impact,"Between 2014 and 2019, over 129 schools and colleges in Dorset and Devon were visited, engaging over 7,400 children and students.",129,,,2019,552,Education,Historic,true,true,,,true,true,70,
407,2024-03-30 19:13:15.572817+00,2021-12-31,95,,Progress,"BLUE Education has also worked closely with the BLUE team in the Aeolian Islands, delivering a second year of marine education to local school children and communities.",,,,2021,551,Aeolians,Historic,true,true,how many students,,true,false,5,
408,2024-03-30 19:13:15.572817+00,2021-12-31,95,,Progress,"BLUE Education has also worked closely with the BLUE team in the Aeolian Islands, delivering a second year of marine education to local school children and communities.",,,,2021,552,Aeolians,Historic,true,true,how many schools,,true,false,5,
409,2024-03-30 19:13:15.572817+00,2019-12-31,30,,Impact,"Between 2014 and 2019, over 129 schools and colleges in Dorset and Devon were visited, engaging over 7,400 children and students through the Lyme Bay Education Programme",1,,,2019,553,Education,Historic,true,false,,,true,true,70,
410,2024-03-30 19:13:15.572817+00,2022-12-31,95,,Progress,Blue Education supported the Maldives team to create an engaging educational website for fishers and school children to learn about the importance of their local coral reefs,,,,2022,552,Maldives,Historic,true,true,,,true,false,4,
411,2024-03-30 19:13:15.572817+00,2022-12-31,95,,Impact,Blue Education supported the Maldives team to create an engaging educational website for fishers and school children to learn about the importance of their local coral reefs,1,,,2022,553,Maldives,Historic,true,true,,,true,false,4,
412,2024-03-30 19:13:15.572817+00,2021-12-31,11,,Progress,"BLUE has also been building local capacity through marine internships, education and training to develop marine conservation skills and experience on the island.",,,,2021,551,,Historic,true,true,,,true,false,5,
413,2024-03-30 19:13:15.572817+00,2021-12-31,11,,Impact,"BLUE has also been building local capacity through marine internships, education and training to develop marine conservation skills and experience on the island.",1,,,2021,553,,Historic,true,true,,,true,false,5,
414,2024-03-30 19:13:15.572817+00,2021-05-31,61,,Impact,Community education campaign 1 – Ecotourism: The underwater beauty of Vulcano island - an open laboratory below the surfac,1,,,2021,553,,Historic,true,true,,,true,true,99,
416,2024-03-30 19:13:15.572817+00,2021-05-31,61,,Impact,Community education campaign 1 – Ecotourism: The underwater beauty of Vulcano island - an open laboratory below the surface. The event attracted 30 students in-person and 30 community members online.,30,,,2021,551,,Historic,true,false,,,true,true,99,
