ID,ProjectNumber,Project,Output Code,Month,Year,Value,Stat,Impact Indicator Old,Impact Indicator New,Unit,Valid,Original?,Notes/More detail required?,Project2,Historic/Logframe,Source,Verification
1,61,Aeolians,,Nov,2016,,"November 2016, the Ministry of Environment, Land and Sea committed to the designation of an MPA in the Aeolians and local municipalities united and announced their support",NA,1.2.1,proposed km2,0,1,,,Historic,10,
2,61,Aeolians,,,2016,1," This is supported by a newly created ‘Responsible Seafood’ label, and local hotels, restaurants and fish markets are encouraged to buy and sell sustainably caught seafood at fair prices",NA,3.2.2,Number of initiatives,1,1,,,Historic,67,
3,61,Aeolians,,,2020,,"BLUE has invested in infrastructure such as ice machines and insulated fish boxes, which improve quality of catch",NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,67,
4,61,Aeolians,,,2020,23,"Number of beneficiaries directly supported with the Swarovski Foundation grant 23 (students, fishermen and biologists – education session 1)",NA,5.2.2,Number of non-monetary beneficiaries,1,0,,,Historic,67,
5,61,Aeolians,,,2020,225,"Number of beneficiaries indirectly supported with the Swarovski Foundation grant 23 community members (estimated number of  family members/friends; supporting fishermen and teachers) 225 individuals through events/presentations  featuring the Aeolian Island  marine education  programme 5,975 people reached through social media posts about the Aeolian Island marine education programme",NA,5.2.2,Number of non-monetary beneficiaries,1,1,,,Historic,67,
6,61,Aeolians,,,2020,25,"Cambridge University – Marine Science Student and Staff group: 25 participants
King’s College London – Postgraduate Geography/Climate Change cohort: 80 participants
The Eden Project (Live): 120 participants
Total number of participants learning about the Aeolian Island marine education programme and its 
aim: 225",NA,5.3.1,Number of stakeholders,1,1,,,Historic,67,
7,61,Aeolians,,May,2021,30,Community education campaign 1 – Ecotourism: The underwater beauty of Vulcano island - an open laboratory below the surface. The event attracted 30 students in-person and 30 community members online.,NA,5.3.1,Number of stakeholders,1,1,,,Historic,99,
8,61,Aeolians,,Nov,2021,160,"The event attracted 160 students and 280 students received copies of his 
book. ",NA,5.3.1,Number of stakeholders,1,1,,,Historic,99,
9,61,Aeolians,,May,2016,1,"Rory Moore co-hosts an event with the Aeolian Island Preservation Fund, where Italy’s Minister of Environment, Land and Sea, Gian Luca Galletti, with regional and local mayors, announce their endorsement of the establishment of a network of marine protected areas around the Aeolian Islands",NA,5.3.2,Tools/‌activities,1,1,,,Historic,10,
12,20,Maldives,,,2022,125,"125 participants in school snorkeling camps (Hamad, Ihadhdhoo, Fonadhoo, Kinahandhoo and Maavah)",NA,5.5.1,Number of students/general public,1,1,,,Historic,1,
11,30,Lyme Bay,,,2019,129,"Between 2014 and 2019 over 129 schools and colleges in Dorset and Devon were visited, engaging over 7,400 children and students",NA,5.5.2,Number of schools,1,0,,Education,Historic,78,
13,20,Maldives,,,2022,17,17 participants in council education sessions (Kunahandhoo and Maavah),NA,5.5.1,Number of students/general public,1,1,,,Historic,1,
15,20,Maldives,,,2022,8,8 young people trained on PADI OWD and as Reef Check EcoDivers.,NA,5.5.1,Number of students/general public,1,1,,,Historic,1,
16,61,Aeolians,,Nov,2021,1,"Additional community education campaign event: Re-connecting with school partners to 
solidify ocean-climate education ",NA,5.5.3,Number of packages/‌initiatives,0,1,,,Historic,99,
17,30,Lyme Bay,,,2019,129,"Between 2014 and 2019, over 129 schools and colleges in Dorset and Devon were visited, engaging over 7,400 children and students.",NA,5.5.2,Number of schools,1,1,,Education,Historic,70,
18,30,Lyme Bay,,,2019,7400,"Between 2014 and 2019, over 129 schools and colleges in Dorset and Devon were visited, engaging over 7,400 children and students.",NA,5.5.1,Number of students/general public,1,1,,Education,Historic,70,
20,95,Education,,,2021,,"BLUE Education has also worked closely with the BLUE team in the Aeolian Islands, delivering a second year of marine education to local school children and communities.",NA,5.5.1,Number of students/general public,1,1,how many students,Aeolians,Historic,5,
21,95,Education,,,2021,,"BLUE Education has also worked closely with the BLUE team in the Aeolian Islands, delivering a second year of marine education to local school children and communities.",NA,5.5.2,Number of schools,1,1,how many schools,Aeolians,Historic,5,
