id,output_id,code,description,status,notes
35000101990102,35000101,A.1.2,"Relationship building and engagement with Environment, Fisheries and Economic Development Ministers and States of Jersey officials to secure commitment.",Complete,"Relationship with Fisheries well-established, collaborative supervising of students and local research project is underway"
35000101990103,35000101,A.1.3,Engagement with different groups to build Marine Park vision that is supported by a broad range of stakeholders on the Island.,Complete,"Have met with several other environmental groups on the Island, including Jersey Heritage, Visit Jersey, Ports of Jersey, Jersey Marine Conservation, and eco-tourism operators.  BLUE staff attend meetings of the Societe Jersiaise Marine Biology Section and Ramsar Management Authority."
35000101990104,35000101,A.1.4,Marine Park vision document written by BLUE and submitted to the States. ,Complete,Marine Park vision document submitted to Lyndon Farnham in 2021.
35000101990105,35000101,A.1.5,Contribution of Marine Park vision to the States spatial planning process via the revised Island Plan.,Complete,"Extensive consultation provided to Island Plan, with consultation resulting in commitment to develop network of MPAs within Marine Spatial Plan that must be developed by 2023."
35000101990106,35000101,A.1.6,Press and media liaison to support an announcement.,Complete,Video developed for Marine Park announcement however political tensions resulted in a slowdown in momentum from the Jersey Govt.  Assets (video) being collected for general marine park announcement.
35000101990000,35000101,,,,
35000302990202,35000302,A.2.2,Report shared with the Government of Jersey (including impact assessment and opportunities for the fleet for a low-impact (i.e. static gear) model.,Complete,Formally shared with Marine Resources in October 2022
35000303990302,35000303,A.3.2,"Bring together fishers, scientists, regulators and other stakeholders using BLUE’s co-management model developed and proven in Lyme Bay, to form a Working Group.",In Progress,Fishing industry has not been receptive to conservation NGOs being ivolved in working groups
35000303990303,35000303,A.3.3,Research gaps identified,Complete,"Research gaps were identified with government. This has been delivered in the form of an ESV report, which has fed direclty into the MSP, and three MSc projects which will help to inform effective management."
35000303990304,35000303,A.3.4,Fisher-led research and student projects completed based on research gaps,Complete,Three MSc projects to be completed in June 2023. Scallop potting and scallop dive surveys completed in August and September 2023.
35000303990305,35000303,A.3.5,Results from fisheries monitoring are assessed and fed into recommendations.,Complete,All monitoring data has been assessed and submitted to the MSP in April 2023
35000303990306,35000303,A.3.6,Value-add initiatives (including Marine Park seafood scheme) identified,Complete,"Initiaitves identified in MEP low-impact report, which was submitted as part of Blue Marine's reccomendations to the MSP"
35000204990402,35000204,A.4.2,"Development of trails and a citizen science and engagement plan, including school visits.",Complete,
35000204990403,35000204,A.4.3,Promotion materials/media assets created.,Complete,
35000105990502,35000105,A.5.2,PhD findings outline recovery of habitats and biodiversity in existing MPAs,Complete,
35000105990503,35000105,A.5.3,"Ecosystem services review completed within PhD, including habitat ecosystem services and sensitivities",Complete,
35000105990504,35000105,A.5.4,"The blue carbon potential of Jersey’s habitats assessed using existing evidence from BLUE’s PhD (indicating where blue carbon habitats are increasing in existing MPAs), Government data and worldwide case studies. This work will also include isotope analysis to inform quantification of carbon sequestration. This work is earmarked to be carried out and funded by the States of Jersey.",Complete,
35000105990505,35000105,A.5.5,"Monitoring (by divers, towed video and other surveys) is carried out to gather baseline data on ecology when the Marine Park is designated.",Complete,
35000105990506,35000105,A.5.6,Fisher-led science and monitoring across the three years. This data will be used as part of the report to show fisheries benefit from the Marine Park,Complete,Submitted in MSP evidence submission
35000105990507,35000105,A.5.7,Socio-economic benchmarking of the local fishing fleet will be conducted and added to existing data from BLUE’s PhD on spatial patterns and effort.,Complete,A transition case study is underway in order to identify and set out apropriate transition options for the mobile fishing fleet. This includes further socio-economic data collection and analysis of the local fleet.
35000105990508,35000105,A.5.8,Activities A.5.5and A.5.7 will be repeated in Year 3 (End of summer 2023).,Complete,
35000106990602,35000106,A.6.2,All evidence and recommendations to support legislation for new management of mobile fishing in the Marine Park is submitted to the States of Jersey. This will include all biodiversity and blue carbon assessments as well as a fisheries case.,Complete,"Submission of consultations and reports to the States of Jersey has been completed, including consultation responses to the Bridging Island Plan and  the Carbon neutral roadmap as well as the submission of a briefing in February 2022 to all States Members. The projects full evidence base for a marine park has also been submitted to the MSP."
35000106990603,35000106,A.6.3,Ongoing engagement to ensure legislation delivers real conservation value. This will include support of a consultation if carried out.,In Progress,Awaiting release of marine spatial plan.
35000107990702,35000107,A.7.2,"Meetings with local stakeholders to discuss potential sites and build consensus for a network, including fishermen, diving communities and recreational fishermen.",Complete,"While not actively part of dicussions, Blue Marine staff are members of the MBS of the SJ, which have put forward a reccomendation for a secon NTZ in April 2023"
35000107990703,35000107,A.7.3,"Meetings with the States of Jersey to put forward suggestions and discuss findings. Evidence in support of a series of no-take zones to provide core biodiversity refuge is submitted to the States of Jersey, including the report from the previous milestone.",Complete,"Various meetings regarding the Marine Spatial Plan (MSP) with the Government of Jersey have included discussions around the potential NTZ's. The meetings highlighted that Les Sauvages will liley be reccomended as an NTZ, and Blue Marines report will contribute to the evidence base for its designation. NTZ report has been completed and shared with the Government of Jersey"
35000308990802,35000308,A.8.2,Support a consultation on measures based on recommendations from Working Group and research conducted with fishermen.,Not started,
35000309990902,35000309,A.9.2,Design and development of seafood scheme to distinguish seafood caught within the Marine Park using low impact methods.,Complete,
35000309990903,35000309,A.9.3,Support from BLUE for infrastructure improvements to enable fishermen to increase quality and supply of seafood locally.,Complete,"Discussions with local scallop divers, government and ports of Jersey to develop a hand-dived scallop proceesing unit have gained traction."
35000309990904,35000309,A.9.4,"Launch of seafood scheme or, if appropriate, roll out of BLUE’s successful Reserve Seafood scheme with support from BLUE Media and Ocean Culture Life.",Complete,
35000309990905,35000309,A.9.5,Marketing and communication to create buy-in and awareness of the seafood scheme.,Complete,
35000110991002,35000110,A.10.2,Scoping completed highlighting potential areas of interest,In Progress,
