project_id,output_indicator_id,date,description,value,type
62,6200010506.0,2023-06-01,- 50 children from local schools,50,Whatever
62,6200010509.0,2023-03-01,"Q1: Adopt a beach –  51 children from primary schools (A total of 22kg of waste collected, where cigarette butts were the most abundant litter - 154 pieces). ",51,Whatever
,,2023-12-01,"Taste the Aeolians: 58 students (already counted, do not double count).",58,Whatever
,,2023-12-01,Wings of the sea: 24 new students.,24,Whatever
,,2023-12-01,Adopt a beach: 63 new students involved.,63,Whatever
,,2023-12-01,Marine biology courses: 12 new students.,12,Whatever
,,2023-03-01,Q1: Adopt a beach –  6 teachers.,6,Whatever
,,2023-03-01,(march) 1 scientific report was sent to the MPA management body,1,Whatever
,,2023-06-01,(may/june) the nomination of the Pelagie Archipelago as an ISRA (Important Sharks and Rays Area) has been submitted,1,Whatever
,,2023-11-01,1 scientific paper about a relevant area for the protection of the shortfin mako in the Pelagie Archipelago - quotes for buoy installation on the way. ,1,Whatever
,,2022-12-01,"23 fishers are currently involved in fishing monitoring (jan), in docs and at sea, for measuring the fishing effort and the current status of local fish populations. It will end in Dec 223",23,Whatever
,,2022-10-01,"3 diving centres and 12 fishers in Marettimo Island (July-oct, beneficiaries).",15,Whatever
,,2022-05-01,"Biodiversity results from PhD published in scientific journal in May: Fisheries Management and Ecology.  Two/three chapters are in the process of being published, currently undergoing review and anticiapted for publication in Y3.",1,Whatever
,,2021-05-01,Project Manager and Project Officer commenced roles in April and May 2021 respectively.  Spent time meeting with stakeholders on the island,10,Whatever
,,2022-06-01,"Members of Local Marine Resources team, politicians, members of local stakeholders group (RMA and MBS of SJ).  Extensive engagement completed in run-up to Jersey election.",25,Whatever
,,2022-06-01,BLUE-funded PhD finalised in June 2022 ,1,Whatever
,,2022-08-01,"In August 2022, the project team attended in person meetings with the environment and assistant environment mininsters. ",1,Whatever
