id,project_id,output_id,code,description,unit,target,assumptions,verification,impact_indicator_id
3500010101,35,35000101,O.1.1,"
Relationships built with key government/department/policy stakeholders
",Contacts,50,"States of Jersey are willing to work with BLUE. 

Fieldwork/surveys are not impacted by extreme weather

Commitment to a Marine Park is received positively by the wider public. 

Stakeholders are supportive of film production to boost awareness and the film achieves significant reach.","
Meeting minutes, correspondence etc. to support informal/formal relationships
",906
3500010102,35,35000101,O.1.2,Ecological/fisheries data compiled and presented to relevant stakeholders,Outreach activities/presentations,1,,"Surveys/datasets/reports produced that identify fragile and shallow habitats, plus areas important to static gear fishermen",532
3500010103,35,35000101,O.1.3,Commitment announced publicly to designate Marine Park based on ecological/fisheries data and vision report  presented by BLUE,km2,900,,Commitment statment is made publicly available and outlines details of the Marine Park,121
3500010104,35,35000101,O.1.4,Film announcing Marine Park produced and distributed to increase awareness of the designation,Film,1,,Significant media reach achieved based on tracking metrics,532
3500030201,35,35000302,O.2.1,Report provided to the States of Jersey,Report,1,"Report finds sufficient information on low-impact options in Jersey

Stakeholder input required for the report is forthcoming

Data required for the report is able to be shared with Blue Marine Foundation",Copy of report,311
3500030301,35,35000303,O.3.1,Working group developed and formalised,Working Group,1,"Local fishermen willing to work together with Blue Marine Foundation

Local fishermen willing to work with one another, including establishing joint recommendations

Findings are received by Government of Jersey who are receptive to their implementation","Correspondence, meeting minutes.",906
3500030302,35,35000303,O.3.2,"Conduct meetings with fishermen, scientists, regulators and NGOs",Meetings,60,,"Correspondence, meeting minutes, record of attendance",906
3500030303,35,35000303,O.3.3,Working Group produces report with Jersey-specific recommendations to develop low-impact fisheries including proposed management measures,Report,1,,Report,311
3500020401,35,35000204,O.4.1,Local students engaged with snorkel trail via Snorkel Trail package,Students,180,"Snorkel trail education package receives good uptake from local schools

Community are open and receptive to snorkel trail",Record of students who have taken part (anonymised),531
3500020402,35,35000204,O.4.2,Local community informed and engaged with Snorkel Trail,Tools/activities delivered,9,,"Record of completion of snorkel trail packages, records of snorkel trail launch, record of app",532
3500020403,35,35000204,O.4.3,Stakeholders reached with messaging about snorkel trail,Stakeholders reached,100,,"Reach stats (video views, social media impressions etc)",531
3500010501,35,35000105,O.5.1,"Blue carbon report published, with estimates of total blue carbon in Jersey's waters",Report,1,"Weather conditions allow for blue carbon fieldwork

Biodiversity assessment of PhD progresses through peer review",Copy of report,111
3500010502,35,35000105,O.5.2,Results (from PhD) are published,Report,1,,Copy of publication,111
3500010503,35,35000105,O.5.3,Report prepared summarising findings of Marine Park impact to-date,Report,1,,Copy of report,111
3500010601,35,35000106,O.6.1,Government of Jersey designates Marine Park as a No Mobile Gear Zone.,km2,820,"Government of Jersey open to designation (particularly following significant change in 2022 elections)

Consultation during designation indicates support for designation",Link to announcement,901
3500010602,35,35000106,O.6.2,Government of Jersey announces adequate management measures within the Marine Park (through effective management plan),Management Plan,1,,Link to management plan,901
3500010603,35,35000106,O.6.3,Area of habitat across which mobile gear has been banned,km2,820,,Link to announcement and management plan,421
3500010701,35,35000107,O.7.1,Engagement with local stakeholders to build consensus and evidence base.,Stakeholders reached,100,"Surveys find sufficient evidence that sites are biodiversity hotspots

Weather conditions allow for dive surveys

Government of Jersey receptive to establishment of further NTZs","Workshop attendance, media views, links to media articles, correspondence.",531
3500010702,35,35000107,O.7.2,Report compiling survey and research findings completed (new pieces of evidence submitted to support protection),Report,1,,Copy of report,111
3500010703,35,35000107,O.7.3,Report produced and submitted to the Government of Jersey,Report,1,,Copy of report,111
3500030801,35,35000308,O.8.1,Fisher-led research informs the management measures adopted,Report,1,"Government of Jersey are receptive to making changes based on findings

Local fishermen are willing to work together to develop joint recommendations","Research findings, inclusion of outcomes in management plan",311
3500030802,35,35000308,O.8.2,Number of commercially exploited species under increased protection,Species,4,,Inclusion in Marine Park Management Plan,422
3500030901,35,35000309,O.9.1,Low-impact seafood schemes rolled out,Schemes,2,"Seafood schemes enerate a higher price

Consumers show interest in eco-labels on the island",,906
3500030902,35,35000309,O.9.2,"Low-impact seafood generates higher profits for fishermen than prior to scheme rollout.  Number of beneficiaries who have received monetary benefits (i.e. increased income, increase in livelihood quality).",Beneficiaries,30,,Survey findings pre/post-scheme implementation.  Landings value data from Marine Resources team,521
3500030903,35,35000309,O.9.3,Number of consumers/community members/interested parties reached with messaging through in-person and digital engagement work,Stakeholders,1000,,Social media reach,531
3500011001,35,35000110,O.10.1,Report produced on potential for increased protection in other islands,report,1,"Governments of other channel islands receptive to idea of further protection

Governments of other channel islands open to working with Blue Marine Foundation",Copy of report,111
3500000001,35,35000000,U.1,Extra funding,£,40000,,,906
3500000002,35,35000000,U.2,Hyperbaric chamber beneficiaries,Beneficiaries,50,,,522
3500000003,35,35000000,U.3,MSc Students,Beneficiaries,4,,,522
3500000004,35,35000000,U.4,Seagrass MSc publication,Publication,1,,,111
3500000005,35,35000000,U.5,Poll,Outreach activity,1,,,532
3500000006,35,35000000,U.6,Poll reach,Reach stats,2500,,,531
3500000007,35,35000000,U.7,"Number of outreach activities completed (presentations given, articles co-written etc)",Outreach activity,1,,,532
