ID,Proj No,Project,Output Code,Month,Year,Value,Stat,Impact Indicator Old,Impact Indicator New,Unit,Valid,Original?,Notes/More detail required?,Project2,Historic/Logframe,Source,Verification,project_id,id
12,20,Maldives,,,2022,125,"125 participants in school snorkeling camps (Hamad, Ihadhdhoo, Fonadhoo, Kinahandhoo and Maavah)",,5.5.1,Number of students/general public,1,1.0,,,Historic,1,,35,3500010101.0
13,20,Maldives,,,2022,17,17 participants in council education sessions (Kunahandhoo and Maavah),,5.5.1,Number of students/general public,1,1.0,,,Historic,1,,35,3500010102.0
15,20,Maldives,,,2022,8,8 young people trained on PADI OWD and as Reef Check EcoDivers.,,5.5.1,Number of students/general public,1,1.0,,,Historic,1,,35,3500010103.0
241,62,Italy,,,2020,,"Last summer, hundreds of local schoolchildren were captivated by BLUE’s ‘Understanding the Sea’ marine education programme facilitated by our partners, the Kurma Association",,5.5.1,Number of students/general public,1,1.0,,,Historic,5,,35,3500010104.0
242,62,Italy,,,2020,,"Last summer, hundreds of local schoolchildren were captivated by BLUE’s ‘Understanding the Sea’ marine education programme facilitated by our partners, the Kurma Association",,5.5.2,Number of schools,1,1.0,,,Historic,5,,35,3500030201.0
231,62,Italy,,,2022,,has engaged hundreds of local schoolchildren through the ‘Understanding the Sea’ marine education programme,,5.5.2,Number of schools,1,0.0,How many schools,,Historic,4,,35,3500030301.0
243,62,Italy,,,2020,1,"Last summer, hundreds of local schoolchildren were captivated by BLUE’s ‘Understanding the Sea’ marine education programme facilitated by our partners, the Kurma Association",,5.5.3,Number of packages/‌initiatives,1,0.0,,,Historic,5,,35,3500030302.0
230,62,Italy,,,2022,,has engaged hundreds of local schoolchildren through the ‘Understanding the Sea’ marine education programme,,5.5.1,Number of students/general public,1,0.0,how many kids,,Historic,4,,35,3500030303.0
415,62,Italy,,,2022,1,"The study compile all the existing scientific evidence advocating for the protection of the area, it proposes the necessary protection measures and it outlines a draft Ministerial Decision for the legal designation of the protected seascape. ",,1.1.1,"Reports, investigations, published papers or similar",1,1.0,Pending submission to the Ministry of Environment ,,Historic,66,,35,3500020401.0
416,62,Italy,,,2023,1,Scientific report from Univ. of Genoa,,1.1.1,"Reports, investigations, published papers or similar",1,1.0,Shared with the MPA management authority,,Historic,98,,35,3500020402.0
417,62,Italy,,,2023,1, 1 photo report from a local association that helped in the seabed cleanup,,Progress,-,1,1.0,Shared with the MPA management authority,,Historic,98,,35,3500020403.0
418,62,Italy,,,2023,1,Nomination of both Pelagie and Egadi Archipelagos as an ISRA (Important Sharks and Rays Area) site,,1.1.1,"Reports, investigations, published papers or similar",1,1.0,Shared with the IUCN SSC,,Historic,98,,35,3500010501.0
419,62,Italy,,,2023,1,1 scientific paper about a relevant area for the protection of sandbar shark in the Pelagie archipelago,,1.1.1,"Reports, investigations, published papers or similar",1,1.0,Shared with the MPA management authority and the Environmental Ministry in Rome,,Historic,98,,35,3500010502.0
420,62,Italy,,,2023,1,1 scientific paper about a relevant area for the protection of Eagle rays in the Egadi archipelago,,1.1.1,"Reports, investigations, published papers or similar",1,1.0,Shared with the MPA management authority,,Historic,98,,35,3500010503.0
421,62,Italy,,,2022,,"This year Blue Marine’s efforts saw the designation of new Natura 2000 Habitats Directives sites, protecting valuable Posidonia meadows and seamounts around the entire Aeolian archipelago.",,1.2.1,proposed km2,?,1.0,How big,,Historic,4,,35,3500010601.0
422,62,Italy,,,2023,0.25,25 ha	Egadi Islands proposed as Important Shark and Ray Area (ISRA) - to IUCN Shark Specialist group and accepted as candidate.  Formal designation to take place in August 2023,,1.2.2,designated km2,1,1.0,,,Historic,98,,35,3500010602.0
